date,sales
2012-06-01,584719.9350400011
2012-07-01,325601.78676000034
2012-08-01,305322.3028800001
2012-09-01,403217.4556799999
2012-10-01,374939.92383999994
2012-11-01,437920.3208399995
2012-12-01,498579.54344000056
2013-01-01,348788.0561599997
2013-02-01,543339.3217200004
2013-03-01,513135.70616000064
2013-04-01,478642.1980800006
2013-05-01,541446.1071200002
2013-06-01,583944.6661200011
2013-07-01,412918.39163999975
2013-08-01,382125.54431999975
2013-09-01,461095.5893600004
2013-10-01,466362.6968800003
2013-11-01,609019.9267200012
2013-12-01,682324.6874000003
2014-01-01,447285.31328000023
2014-02-01,647753.2143199999
2014-03-01,653794.5408800008
2014-04-01,540243.7514000004
2014-05-01,766078.4249599994
2014-06-01,742490.8176000013
2014-07-01,536531.0448000005
2014-08-01,488318.60971999995
2014-09-01,695441.9373600024
2014-10-01,604265.0800000009
2014-11-01,609597.6720799991
2014-12-01,745154.4659599997
2015-01-01,557344.3465200011
2015-02-01,865462.0838800011
2015-03-01,810873.4116800007
2015-04-01,813318.8300000002
2015-05-01,1017909.4631200011
2015-06-01,855514.7959999982
