date,sales
2011-12-01,292359.96752000053
2012-01-01,162800.89338000017
2012-02-01,152661.15144000005
2012-03-01,201608.72783999995
2012-04-01,187469.96191999997
2012-05-01,218960.16041999974
2012-06-01,249289.77172000028
2012-07-01,174394.02807999984
2012-08-01,271669.6608600002
2012-09-01,256567.85308000032
2012-10-01,239321.0990400003
2012-11-01,270723.0535600001
2012-12-01,291972.33306000056
2013-01-01,206459.19581999988
2013-02-01,191062.77215999988
2013-03-01,230547.7946800002
2013-04-01,233181.34844000015
2013-05-01,304509.9633600006
2013-06-01,341162.34370000014
2013-07-01,223642.65664000012
2013-08-01,323876.60715999996
2013-09-01,326897.2704400004
2013-10-01,270121.8757000002
2013-11-01,383039.2124799997
2013-12-01,371245.4088000007
2014-01-01,268265.52240000025
2014-02-01,244159.30485999997
2014-03-01,347720.9686800012
2014-04-01,302132.54000000044
2014-05-01,304798.83603999956
2014-06-01,372577.23297999986
2014-07-01,278672.17326000053
2014-08-01,432731.04194000055
2014-09-01,405436.70584000036
2014-10-01,406659.4150000001
2014-11-01,508954.73156000057
2014-12-01,427757.3979999991
2015-01-01,467096.5663326922
2015-02-01,27812.750997716466
2015-03-01,-75699.71810762638
2015-04-01,-30014.731403207144
2015-05-01,8357.427235431445
2015-06-01,-27384.746161233634
